timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
94 23 33 0.3977570474852735 0.002242952514726504
94 24 35 0.3968561069491394 0.0031438930508606022
95 20 21 0.39736359053568737 0.00263640946431265
95 23 33 0.3977570474852735 0.002242952514726504
95 24 35 0.3968561069491394 0.0031438930508606022
96 20 21 0.39736359053568737 0.00263640946431265
96 23 33 0.3977570474852735 0.002242952514726504
96 24 35 0.3968561069491394 0.0031438930508606022
97 20 21 0.39736359053568737 0.00263640946431265
97 23 33 0.3977570474852735 0.002242952514726504
97 24 35 0.3968561069491394 0.0031438930508606022
98 20 21 0.39736359053568737 0.00263640946431265
98 23 33 0.3977570474852735 0.002242952514726504
98 24 35 0.3968561069491394 0.0031438930508606022
99 20 21 0.39736359053568737 0.00263640946431265
99 23 33 0.3977570474852735 0.002242952514726504
99 24 35 0.3968561069491394 0.0031438930508606022
100 20 21 0.39736359053568737 0.00263640946431265
100 23 33 0.3977570474852735 0.002242952514726504
100 24 35 0.3968561069491394 0.0031438930508606022
101 20 21 0.39736359053568737 0.00263640946431265
101 23 33 0.3977570474852735 0.002242952514726504
101 24 35 0.3968561069491394 0.0031438930508606022
102 20 21 0.39736359053568737 0.00263640946431265
102 23 33 0.3977570474852735 0.002242952514726504
102 24 35 0.3968561069491394 0.0031438930508606022
103 20 21 0.39736359053568737 0.00263640946431265
103 23 33 0.3977570474852735 0.002242952514726504
103 24 35 0.3968561069491394 0.0031438930508606022
104 20 21 0.39736359053568737 0.00263640946431265
104 23 33 0.3977570474852735 0.002242952514726504
104 24 35 0.3968561069491394 0.0031438930508606022
105 20 21 0.39736359053568737 0.00263640946431265
105 23 33 0.3977570474852735 0.002242952514726504
105 24 35 0.3968561069491394 0.0031438930508606022
106 20 21 0.39736359053568737 0.00263640946431265
106 23 33 0.3977570474852735 0.002242952514726504
106 24 35 0.3968561069491394 0.0031438930508606022
107 20 21 0.39736359053568737 0.00263640946431265
107 23 33 0.3977570474852735 0.002242952514726504
107 24 35 0.3968561069491394 0.0031438930508606022
108 20 21 0.39736359053568737 0.00263640946431265
108 23 33 0.3977570474852735 0.002242952514726504
108 24 35 0.3968561069491394 0.0031438930508606022
109 20 21 0.39736359053568737 0.00263640946431265
109 23 33 0.3977570474852735 0.002242952514726504
109 24 35 0.3968561069491394 0.0031438930508606022
110 20 21 0.39736359053568737 0.00263640946431265
110 23 33 0.3977570474852735 0.002242952514726504
110 24 35 0.3968561069491394 0.0031438930508606022
111 20 21 0.39736359053568737 0.00263640946431265
111 23 33 0.3977570474852735 0.002242952514726504
111 24 35 0.3968561069491394 0.0031438930508606022
112 20 21 0.39736359053568737 0.00263640946431265
112 23 33 0.3977570474852735 0.002242952514726504
112 24 35 0.3968561069491394 0.0031438930508606022
113 20 21 0.39736359053568737 0.00263640946431265
113 23 33 0.3977570474852735 0.002242952514726504
113 24 35 0.3968561069491394 0.0031438930508606022
114 20 21 0.39736359053568737 0.00263640946431265
114 23 33 0.3977570474852735 0.002242952514726504
114 24 35 0.3968561069491394 0.0031438930508606022
115 20 21 0.39736359053568737 0.00263640946431265
